Exp. Date,Calls_Last,Calls_Change,Calls_Bid,Calls_Ask ,Calls_Vol,Calls_OpenInt,Strike,Puts_Last,Puts_Change,Puts_Bid,Puts_Ask,Puts_Vol,Puts_OpenInt
11/8/2024,87.30,,61.50,64.15,,10.00,345.00,0.07,-0.01 ,0.03,0.10,14.00,105.00
11/8/2024,61.15,-26.05 ,56.45,58.95,7.00,12.00,350.00,0.10,-0.01 ,0.10,0.11,277.00,589.00
11/8/2024,75.83,,51.50,54.20,,17.00,355.00,0.15,0.01 ,0.15,0.16,162.00,165.00
11/8/2024,49.73,-28.47 ,46.55,49.40,10.00,5.00,360.00,0.21,-0.02 ,0.19,0.23,725.00,441.00
11/8/2024,46.35,-24.08 ,41.65,44.50,27.00,8.00,365.00,0.31,0.06 ,0.29,0.38,219.00,250.00
11/8/2024,,,39.20,42.10,,,367.50,0.34,0.08 ,0.34,0.42,42.00,64.00
11/8/2024,41.64,-18.04 ,36.75,39.75,7.00,18.00,370.00,0.43,0.13 ,0.41,0.46,432.00,719.00
11/8/2024,37.25,-28.87 ,34.30,36.80,1.00,2.00,372.50,0.38,0.07 ,0.50,0.55,185.00,11.00
11/8/2024,36.10,-21.65 ,31.90,34.60,7.00,9.00,375.00,0.65,0.23 ,0.61,0.67,651.00,404.00
11/8/2024,32.15,1.10 ,29.50,31.35,13.00,,377.50,0.76,0.28 ,0.73,0.86,386.00,69.00
11/8/2024,30.12,-26.28 ,27.40,30.15,70.00,45.00,380.00,0.90,0.31 ,0.89,0.99,558.00,789.00
11/8/2024,29.40,-0.05 ,25.05,27.15,26.00,,382.50,1.11,0.46 ,1.09,1.18,274.00,49.00
11/8/2024,26.65,-27.35 ,22.75,25.55,26.00,21.00,385.00,1.30,0.61 ,1.33,1.48,2559.00,1474.00
11/8/2024,22.75,-4.30 ,20.80,22.25,4.00,,387.50,1.70,0.90 ,1.63,1.74,352.00,70.00
11/8/2024,21.50,-24.50 ,18.55,20.15,220.00,64.00,390.00,2.05,1.04 ,2.04,2.11,2618.00,1085.00
11/8/2024,20.30,-19.43 ,16.50,17.55,53.00,7.00,392.50,2.48,1.43 ,0.47,2.61,494.00,200.00
11/8/2024,15.60,-25.97 ,15.00,15.35,117.00,46.00,395.00,3.10,1.90 ,2.77,3.35,1308.00,1787.00
11/8/2024,16.00,-23.50 ,11.95,13.55,185.00,9.00,397.50,3.68,2.29 ,3.60,3.85,649.00,196.00
11/8/2024,12.00,-23.35 ,11.00,11.80,786.00,506.00,400.00,4.50,2.78 ,4.30,4.60,3846.00,1779.00
11/8/2024,10.35,-19.62 ,8.45,10.20,416.00,20.00,402.50,5.40,3.28 ,5.25,5.60,1697.00,344.00
11/8/2024,8.70,-23.63 ,8.40,8.70,1018.00,247.00,405.00,6.45,4.14 ,6.30,6.65,3891.00,1215.00
11/8/2024,7.35,-25.35 ,7.10,7.35,2142.00,22.00,407.50,7.61,4.64 ,7.50,7.75,1519.00,414.00
11/8/2024,6.00,-22.68 ,6.00,6.15,6535.00,338.00,410.00,8.85,5.60 ,8.75,9.10,2708.00,1721.00
11/8/2024,5.05,-20.45 ,4.85,5.05,2816.00,112.00,412.50,9.10,5.30 ,10.25,10.55,931.00,308.00
11/8/2024,4.00,-19.20 ,4.00,4.15,5049.00,538.00,415.00,11.88,7.38 ,11.75,13.40,820.00,1352.00
11/8/2024,3.30,-17.63 ,3.00,3.30,2050.00,281.00,417.50,13.53,8.48 ,13.45,14.95,490.00,273.00
11/8/2024,2.56,-17.18 ,2.50,2.61,5336.00,1333.00,420.00,15.00,9.07 ,15.30,15.80,808.00,862.00
11/8/2024,2.00,-17.50 ,0.54,2.04,3688.00,116.00,422.50,16.48,9.55 ,15.40,18.75,191.00,281.00
11/8/2024,1.56,-15.14 ,1.50,1.61,4705.00,1035.00,425.00,18.70,10.74 ,17.60,20.55,1224.00,1275.00
11/8/2024,1.27,-13.78 ,1.10,1.25,1293.00,618.00,427.50,21.10,11.85 ,20.20,23.10,77.00,336.00
11/8/2024,0.95,-12.95 ,0.90,0.98,3523.00,1809.00,430.00,24.10,13.90 ,22.65,25.00,300.00,1094.00
11/8/2024,0.73,-12.27 ,0.65,0.76,1331.00,762.00,432.50,24.55,12.93 ,24.20,26.90,190.00,249.00
11/8/2024,0.60,-10.95 ,0.50,0.58,1765.00,2150.00,435.00,27.20,14.53 ,27.80,29.25,371.00,677.00
11/8/2024,0.39,-9.95 ,0.37,0.44,3309.00,1603.00,437.50,31.00,16.50 ,29.00,31.65,189.00,263.00
11/8/2024,0.32,-9.28 ,0.30,0.35,6209.00,4149.00,440.00,29.56,13.87 ,31.50,34.25,18.00,103.00
11/8/2024,0.25,-8.00 ,0.22,0.31,402.00,413.00,442.50,35.35,19.30 ,33.95,36.60,21.00,39.00
11/8/2024,0.20,-7.20 ,0.16,0.20,3131.00,1603.00,445.00,37.50,19.89 ,36.70,39.45,41.00,65.00
11/8/2024,0.19,-6.41 ,0.13,0.20,428.00,253.00,447.50,38.98,19.93 ,39.00,41.90,2.00,49.00
11/8/2024,0.13,-5.87 ,0.10,0.13,2615.00,2439.00,450.00,43.05,21.04 ,41.35,44.20,5.00,51.00
11/8/2024,0.13,-4.87 ,0.08,0.14,287.00,477.00,452.50,43.55,21.08 ,43.85,47.05,3.00,47.00
11/8/2024,0.08,-4.42 ,0.07,0.13,1082.00,1980.00,455.00,46.95,22.51 ,46.50,49.15,134.00,68.00
11/8/2024,0.08,-3.82 ,0.03,0.08,115.00,374.00,457.50,46.80,21.40 ,48.85,51.80,64.00,27.00
11/8/2024,0.06,-3.44 ,0.06,0.07,1643.00,2611.00,460.00,51.85,23.60 ,51.50,54.30,77.00,24.00
11/8/2024,0.07,-2.87 ,0.05,0.27,274.00,267.00,462.50,53.45,23.17 ,53.85,56.75,14.00,13.00
11/8/2024,0.05,-2.43 ,0.04,0.05,715.00,1989.00,465.00,56.80,23.80 ,56.75,59.30,167.00,40.00
11/8/2024,0.14,-2.02 ,0.01,0.27,301.00,441.00,467.50,57.04,22.89 ,58.90,61.80,20.00,8.00
11/8/2024,0.03,-1.84 ,0.03,0.04,2410.00,1985.00,470.00,59.90,23.55 ,61.50,64.30,22.00,7.00
11/8/2024,0.04,-1.43 ,,0.40,165.00,138.00,472.50,61.86,23.23 ,63.85,66.80,15.00,6.00
11/8/2024,0.03,-1.21 ,0.02,0.10,480.00,778.00,475.00,64.34,23.34 ,66.60,69.15,16.00,10.00
11/8/2024,0.02,-1.18 ,0.02,0.23,100.00,73.00,477.50,66.86,-0.20 ,68.85,71.80,11.00,
11/8/2024,0.02,-0.99 ,0.01,0.02,438.00,1971.00,480.00,,,71.55,74.30,,
11/8/2024,0.01,-0.80 ,,0.01,67.00,126.00,482.50,72.22,,74.00,76.80,2.00,
11/8/2024,0.01,-0.78 ,,0.03,135.00,358.00,485.00,74.39,18.89 ,76.65,79.30,41.00,12.00
11/8/2024,0.01,-0.59 ,,0.51,18.00,51.00,487.50,,,78.85,81.80,,
11/8/2024,0.01,-0.57 ,,0.51,75.00,318.00,490.00,79.41,-1.41 ,81.35,84.20,8.00,
11/8/2024,0.01,-0.47 ,,0.04,8.00,57.00,492.50,,,84.00,86.75,,
11/8/2024,0.02,-0.43 ,0.01,0.22,33.00,164.00,495.00,,,86.55,89.30,,
11/8/2024,0.01,-0.30 ,,0.01,351.00,1401.00,500.00,89.49,23.78 ,91.35,94.25,16.00,4.00
11/8/2024,0.01,-0.21 ,,0.01,35.00,382.00,505.00,94.51,,96.35,99.30,4.00,
11/8/2024,0.01,-0.16 ,,0.01,1.00,192.00,510.00,92.29,,101.50,104.30,,
11/8/2024,0.15,,,0.50,,152.00,515.00,,,106.60,109.30,,
11/8/2024,0.01,-0.11 ,,0.01,11.00,194.00,520.00,,,111.35,114.30,,
11/8/2024,0.12,,,0.10,,72.00,525.00,,,116.35,119.30,,
11/8/2024,0.08,,,0.79,,180.00,530.00,,,121.15,124.30,,
11/8/2024,0.06,,,0.01,,565.00,535.00,,,126.15,129.30,,
11/8/2024,0.04,,,0.03,,259.00,540.00,,,131.15,134.30,,
11/8/2024,0.03,,,0.80,,17.00,550.00,,,141.35,144.30,,
11/8/2024,0.05,0.03 ,,0.01,3.00,12.00,560.00,,,151.35,154.25,,
11/15/2024,218.23,,196.35,199.15,,104.00,210.00,0.01,,,0.01,1.00,603.00
11/15/2024,195.85,,186.40,189.50,,7.00,220.00,0.02,,,0.01,,53.00
11/15/2024,184.20,,176.40,179.20,,62.00,230.00,0.05,,,0.54,,96.00
,,,,,,,,,,,,,
,,,,,,,,,,,,,
