,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
22,MSFT241018C00335000,2024-10-09 17:20:03+00:00,335.0,83.47,83.4,84.7,0.0,0.0,1.0,100,1.205082099609375,True,REGULAR,USD,2024-10-18
23,MSFT241018C00340000,2024-10-15 17:37:14+00:00,340.0,76.81,78.4,79.75,-3.840004,-4.761319,24.0,196,1.1494183154296875,True,REGULAR,USD,2024-10-18
24,MSFT241018C00345000,2024-10-14 15:33:37+00:00,345.0,71.57,73.4,74.75,-3.540001,-4.7130885,3.0,130,1.0800827246093752,True,REGULAR,USD,2024-10-18
25,MSFT241018C00350000,2024-10-15 18:17:55+00:00,350.0,67.71,68.4,69.75,-2.9800034,-4.215594,1.0,231,1.0107471337890623,True,REGULAR,USD,2024-10-18
26,MSFT241018C00355000,2024-10-14 14:01:34+00:00,355.0,67.07,63.4,64.4,0.0,0.0,20.0,149,0.84179845703125,True,REGULAR,USD,2024-10-18
27,MSFT241018C00360000,2024-10-15 18:24:23+00:00,360.0,57.83,58.4,59.75,-3.0699997,-5.0410504,6.0,374,0.87500125,True,REGULAR,USD,2024-10-18
28,MSFT241018C00365000,2024-10-15 16:58:30+00:00,365.0,52.75,53.4,54.75,2.5499992,5.0796795,5.0,113,0.80664255859375,True,REGULAR,USD,2024-10-18
29,MSFT241018C00370000,2024-10-15 19:23:12+00:00,370.0,47.3,48.4,49.75,-3.6000023,-7.072696,12.0,1380,0.7392604199218749,True,REGULAR,USD,2024-10-18
30,MSFT241018C00375000,2024-10-15 19:00:30+00:00,375.0,42.77,43.4,44.8,-3.6100006,-7.7835283,1.0,307,0.6806672558593752,True,REGULAR,USD,2024-10-18
31,MSFT241018C00377500,2024-10-10 18:23:59+00:00,377.5,38.73,40.9,42.3,0.0,0.0,,1,0.64648791015625,True,REGULAR,USD,2024-10-18
32,MSFT241018C00380000,2024-10-15 19:26:31+00:00,380.0,37.4,38.4,39.8,-3.369999,-8.265879,7.0,4168,0.6123085644531252,True,REGULAR,USD,2024-10-18
33,MSFT241018C00382500,2024-10-15 18:01:32+00:00,382.5,34.85,35.95,37.3,1.0499992,3.1065066,5.0,5,0.585941640625,True,REGULAR,USD,2024-10-18
34,MSFT241018C00385000,2024-10-15 16:25:44+00:00,385.0,31.52,33.45,34.85,-4.34,-12.102621,7.0,249,0.5581098876953126,True,REGULAR,USD,2024-10-18
35,MSFT241018C00387500,2024-10-10 14:29:09+00:00,387.5,28.52,30.95,32.35,0.0,0.0,,3,0.523442265625,True,REGULAR,USD,2024-10-18
36,MSFT241018C00390000,2024-10-15 19:53:07+00:00,390.0,28.62,28.45,29.9,-2.1999989,-7.138218,37.0,618,0.6269568554687501,True,REGULAR,USD,2024-10-18
37,MSFT241018C00392500,2024-10-15 17:50:53+00:00,392.5,25.52,25.95,27.4,3.4500008,15.632083,2.0,28,0.5854533642578125,True,REGULAR,USD,2024-10-18
38,MSFT241018C00395000,2024-10-15 18:01:04+00:00,395.0,22.56,23.5,25.55,-3.9400005,-14.867927,18.0,848,0.6247596118164063,True,REGULAR,USD,2024-10-18
39,MSFT241018C00397500,2024-10-15 16:51:20+00:00,397.5,19.93,21.0,22.15,-2.4699993,-11.026783,12.0,23,0.46680220703125,True,REGULAR,USD,2024-10-18
40,MSFT241018C00400000,2024-10-15 19:47:11+00:00,400.0,18.0,18.9,20.95,-2.2000008,-10.891092,1045.0,2951,0.5731243859863282,True,REGULAR,USD,2024-10-18
41,MSFT241018C00402500,2024-10-15 19:05:21+00:00,402.5,14.84,16.5,17.85,-4.41,-22.90909,43.0,57,0.4639946179199219,True,REGULAR,USD,2024-10-18
42,MSFT241018C00405000,2024-10-15 19:05:21+00:00,405.0,12.51,14.1,14.8,-2.4899998,-16.599998,90.0,2427,0.358404853515625,True,REGULAR,USD,2024-10-18
43,MSFT241018C00407500,2024-10-15 19:55:25+00:00,407.5,11.6,11.8,12.5,-1.0199995,-8.082405,657.0,111,0.33399103515625,True,REGULAR,USD,2024-10-18
44,MSFT241018C00410000,2024-10-15 19:57:43+00:00,410.0,9.6,9.6,10.1,-0.8999996,-8.5714245,613.0,3942,0.2951730639648437,True,REGULAR,USD,2024-10-18
45,MSFT241018C00412500,2024-10-15 19:58:03+00:00,412.5,7.56,6.8,8.05,-1.0400004,-12.093028,725.0,1062,0.28040270385742183,True,REGULAR,USD,2024-10-18
46,MSFT241018C00415000,2024-10-15 19:59:58+00:00,415.0,5.88,4.95,7.1,-0.6199999,-9.53846,2383.0,4611,0.33228206787109377,True,REGULAR,USD,2024-10-18
47,MSFT241018C00417500,2024-10-15 19:59:28+00:00,417.5,4.3,3.35,4.8,-0.7999997,-15.686269,4825.0,1945,0.274421318359375,True,REGULAR,USD,2024-10-18
48,MSFT241018C00420000,2024-10-15 19:59:59+00:00,420.0,2.97,2.97,3.1,-0.78,-20.8,9132.0,7879,0.2436599072265625,False,REGULAR,USD,2024-10-18
49,MSFT241018C00422500,2024-10-15 19:59:47+00:00,422.5,2.04,1.91,2.1,-0.6600001,-24.444447,6011.0,3512,0.24182887084960938,False,REGULAR,USD,2024-10-18
50,MSFT241018C00425000,2024-10-15 19:59:57+00:00,425.0,1.35,1.16,1.36,-0.53999996,-28.571426,11727.0,14014,0.24073024902343748,False,REGULAR,USD,2024-10-18
51,MSFT241018C00427500,2024-10-15 19:59:14+00:00,427.5,0.82,0.79,0.9,-0.40000004,-32.78689,2768.0,3505,0.2461012890625,False,REGULAR,USD,2024-10-18
52,MSFT241018C00430000,2024-10-15 19:59:42+00:00,430.0,0.51,0.53,0.55,-0.29000002,-36.25,14154.0,17050,0.247077841796875,False,REGULAR,USD,2024-10-18
53,MSFT241018C00432500,2024-10-15 19:59:33+00:00,432.5,0.33,0.2,0.37,-0.16999999,-33.999996,1691.0,3291,0.2563550927734375,False,REGULAR,USD,2024-10-18
54,MSFT241018C00435000,2024-10-15 19:59:56+00:00,435.0,0.23,0.21,0.24,-0.08,-25.806452,3079.0,12233,0.26367923828125,False,REGULAR,USD,2024-10-18
55,MSFT241018C00437500,2024-10-15 19:56:04+00:00,437.5,0.12,0.13,0.16,-0.07,-36.842106,233.0,2276,0.27197993652343744,False,REGULAR,USD,2024-10-18
56,MSFT241018C00440000,2024-10-15 19:58:03+00:00,440.0,0.08,0.09,0.1,-0.030000001,-27.272728,2197.0,14606,0.27735097656249996,False,REGULAR,USD,2024-10-18
57,MSFT241018C00442500,2024-10-15 19:59:17+00:00,442.5,0.06,0.0,0.08,-0.010000002,-14.285716,142.0,638,0.29395237304687494,False,REGULAR,USD,2024-10-18
58,MSFT241018C00445000,2024-10-15 19:55:48+00:00,445.0,0.04,0.03,0.05,0.0,0.0,605.0,7609,0.29883513671874995,False,REGULAR,USD,2024-10-18
59,MSFT241018C00447500,2024-10-15 19:41:21+00:00,447.5,0.02,0.02,0.04,-0.01,-33.333336,511.0,595,0.31250687499999996,False,REGULAR,USD,2024-10-18
60,MSFT241018C00450000,2024-10-15 19:56:22+00:00,450.0,0.02,0.01,0.03,-0.01,-33.333336,641.0,16447,0.3242255078124999,False,REGULAR,USD,2024-10-18
61,MSFT241018C00452500,2024-10-15 19:54:13+00:00,452.5,0.01,0.01,0.03,-0.01,-50.0,3.0,90,0.34570966796874997,False,REGULAR,USD,2024-10-18
62,MSFT241018C00455000,2024-10-15 19:53:31+00:00,455.0,0.01,0.01,0.01,-0.01,-50.0,1689.0,24166,0.32813171874999997,False,REGULAR,USD,2024-10-18
63,MSFT241018C00457500,2024-10-15 14:22:13+00:00,457.5,0.02,0.0,0.02,0.0,0.0,25.0,9,0.3711000390625,False,REGULAR,USD,2024-10-18
64,MSFT241018C00460000,2024-10-15 19:52:51+00:00,460.0,0.01,0.0,0.01,-0.01,-50.0,168.0,21688,0.367193828125,False,REGULAR,USD,2024-10-18
65,MSFT241018C00462500,2024-10-14 19:54:01+00:00,462.5,0.01,,0.02,0.0,0.0,4.0,63,0.414068359375,False,REGULAR,USD,2024-10-18
66,MSFT241018C00465000,2024-10-15 19:52:51+00:00,465.0,0.01,0.0,0.01,0.0,0.0,35.0,7963,0.4062559375,False,REGULAR,USD,2024-10-18
67,MSFT241018C00470000,2024-10-15 19:52:37+00:00,470.0,0.01,0.0,0.01,0.0,0.0,137.0,11890,0.437505625,False,REGULAR,USD,2024-10-18
68,MSFT241018C00475000,2024-10-15 19:56:34+00:00,475.0,0.01,0.0,0.01,0.0,0.0,106.0,3267,0.476567734375,False,REGULAR,USD,2024-10-18
69,MSFT241018C00480000,2024-10-15 17:35:48+00:00,480.0,0.01,0.0,0.01,0.0,0.0,11.0,4702,0.51562984375,False,REGULAR,USD,2024-10-18
70,MSFT241018C00485000,2024-10-15 14:26:16+00:00,485.0,0.01,0.0,0.01,-0.03,-75.0,3.0,1986,0.51562984375,False,REGULAR,USD,2024-10-18
71,MSFT241018C00490000,2024-10-14 13:30:55+00:00,490.0,0.2,0.0,0.01,0.0,0.0,11.0,9689,0.5468795312500001,False,REGULAR,USD,2024-10-18
72,MSFT241018C00495000,2024-10-10 13:32:54+00:00,495.0,0.01,0.0,0.01,0.0,0.0,100.0,686,0.57812921875,False,REGULAR,USD,2024-10-18
73,MSFT241018C00500000,2024-10-15 19:00:46+00:00,500.0,0.01,0.0,0.01,0.0,0.0,25.0,3839,0.6093789062500001,False,REGULAR,USD,2024-10-18
74,MSFT241018C00505000,2024-10-14 13:36:53+00:00,505.0,0.01,0.0,0.01,0.0,0.0,1.0,1965,0.64062859375,False,REGULAR,USD,2024-10-18
75,MSFT241018C00510000,2024-10-15 19:03:06+00:00,510.0,0.01,0.0,0.01,0.0,0.0,47.0,996,0.6718782812500002,False,REGULAR,USD,2024-10-18
76,MSFT241018C00515000,2024-09-27 19:30:02+00:00,515.0,0.02,0.0,0.01,0.0,0.0,11.0,209,0.70312796875,False,REGULAR,USD,2024-10-18
77,MSFT241018C00520000,2024-10-10 16:11:24+00:00,520.0,0.01,0.0,0.01,0.0,0.0,2.0,1227,0.73437765625,False,REGULAR,USD,2024-10-18
78,MSFT241018C00525000,2024-09-30 14:52:34+00:00,525.0,0.01,0.0,0.01,0.0,0.0,16.0,128,0.7656273437500001,False,REGULAR,USD,2024-10-18
79,MSFT241018C00530000,2024-10-07 14:25:27+00:00,530.0,0.01,0.0,0.01,0.0,0.0,2.0,904,0.79687703125,False,REGULAR,USD,2024-10-18
80,MSFT241018C00535000,2024-10-01 15:21:26+00:00,535.0,0.01,0.0,0.01,0.0,0.0,3.0,545,0.8125018749999999,False,REGULAR,USD,2024-10-18
81,MSFT241018C00540000,2024-10-07 16:44:27+00:00,540.0,0.01,0.0,0.01,0.0,0.0,2.0,1089,0.8437515624999999,False,REGULAR,USD,2024-10-18
82,MSFT241018C00545000,2024-09-19 15:49:27+00:00,545.0,0.02,0.0,0.02,0.0,0.0,3.0,35,0.937500625,False,REGULAR,USD,2024-10-18
83,MSFT241018C00550000,2024-09-30 15:30:51+00:00,550.0,0.01,0.0,0.01,0.0,0.0,120.0,1497,0.9062509375,False,REGULAR,USD,2024-10-18
84,MSFT241018C00555000,2024-09-30 15:10:46+00:00,555.0,0.01,0.0,0.01,0.0,0.0,2.0,816,0.937500625,False,REGULAR,USD,2024-10-18
85,MSFT241018C00560000,2024-10-14 13:31:39+00:00,560.0,0.2,0.0,0.01,0.0,0.0,1.0,475,0.9687503125,False,REGULAR,USD,2024-10-18
86,MSFT241018C00565000,2024-08-29 15:20:34+00:00,565.0,0.01,0.0,0.02,0.0,0.0,1.0,56,1.0468797656250002,False,REGULAR,USD,2024-10-18
87,MSFT241018C00570000,2024-09-30 15:30:59+00:00,570.0,0.01,0.0,0.01,0.0,0.0,60.0,521,1.0312548437500002,False,REGULAR,USD,2024-10-18
88,MSFT241018C00575000,2024-09-17 18:58:45+00:00,575.0,0.01,0.0,0.01,0.0,0.0,1.0,31,1.0312548437500002,False,REGULAR,USD,2024-10-18
89,MSFT241018C00580000,2024-09-03 13:30:13+00:00,580.0,0.03,0.0,0.0,0.0,0.0,1.0,573,0.500005,False,REGULAR,USD,2024-10-18
90,MSFT241018C00585000,2024-09-17 18:58:47+00:00,585.0,0.01,0.0,0.21,0.0,0.0,1.0,8,1.4375028125,False,REGULAR,USD,2024-10-18
91,MSFT241018C00590000,2024-09-25 15:40:36+00:00,590.0,0.01,0.0,0.01,0.0,0.0,20.0,276,1.125004375,False,REGULAR,USD,2024-10-18
92,MSFT241018C00595000,2024-10-14 13:33:54+00:00,595.0,0.26,0.0,0.21,0.0,0.0,1.0,7,1.5000025,False,REGULAR,USD,2024-10-18
93,MSFT241018C00600000,2024-10-14 16:20:31+00:00,600.0,0.01,0.0,0.01,0.0,0.0,1.0,641,1.1875040625,False,REGULAR,USD,2024-10-18
94,MSFT241018C00605000,2024-09-03 17:37:36+00:00,605.0,0.01,0.0,0.01,0.0,0.0,2.0,7,1.1875040625,False,REGULAR,USD,2024-10-18
95,MSFT241018C00610000,2024-08-16 17:24:50+00:00,610.0,0.01,0.0,0.19,0.0,0.0,1.0,11,1.5761739941406248,False,REGULAR,USD,2024-10-18
96,MSFT241018C00615000,2024-09-19 16:46:10+00:00,615.0,0.01,0.0,0.01,0.0,0.0,1.0,3,1.2500037499999999,False,REGULAR,USD,2024-10-18
97,MSFT241018C00620000,2024-09-16 14:57:40+00:00,620.0,0.01,0.0,0.01,0.0,0.0,4.0,457,1.2812535937499998,False,REGULAR,USD,2024-10-18
98,MSFT241018C00625000,2024-09-05 16:36:05+00:00,625.0,0.01,0.0,0.03,0.0,0.0,1.0,3,1.40625296875,False,REGULAR,USD,2024-10-18
99,MSFT241018C00630000,2024-09-05 16:35:39+00:00,630.0,0.01,0.0,0.03,0.0,0.0,1.0,5,1.4375028125,False,REGULAR,USD,2024-10-18
100,MSFT241018C00640000,2024-10-01 13:50:27+00:00,640.0,0.01,0.0,0.01,0.0,0.0,1.0,564,1.3750031249999999,False,REGULAR,USD,2024-10-18
101,MSFT241018C00645000,2024-09-23 18:29:04+00:00,645.0,0.01,0.0,0.21,0.0,0.0,1.0,8,1.7968760156249999,False,REGULAR,USD,2024-10-18
102,MSFT241018C00650000,2024-08-27 15:52:02+00:00,650.0,0.01,0.0,0.01,0.0,0.0,4.0,22,1.40625296875,False,REGULAR,USD,2024-10-18
103,MSFT241018C00660000,2024-07-29 18:08:17+00:00,660.0,0.02,0.0,0.07,0.0,0.0,10.0,12,1.6953140234375002,False,REGULAR,USD,2024-10-18
104,MSFT241018C00670000,2024-07-31 14:30:13+00:00,670.0,0.03,0.0,0.19,0.0,0.0,140.0,140,1.9140629296875002,False,REGULAR,USD,2024-10-18
105,MSFT241018C00700000,2024-09-27 16:51:02+00:00,700.0,0.01,0.0,0.21,0.0,0.0,1.0,27,2.0898485253906243,False,REGULAR,USD,2024-10-18
0,MSFT241025C00260000,2024-09-27 17:33:04+00:00,260.0,170.1,158.8,159.75,0.0,0.0,1.0,1,1.3925811621093749,True,REGULAR,USD,2024-10-25
1,MSFT241025C00270000,2024-10-08 13:30:12+00:00,270.0,141.43,147.2,149.8,0.0,0.0,1.0,1,1.4482449462890625,True,REGULAR,USD,2024-10-25
2,MSFT241025C00290000,2024-09-20 17:18:45+00:00,290.0,148.83,128.85,129.8,0.0,0.0,4.0,4,1.123051259765625,True,REGULAR,USD,2024-10-25
3,MSFT241025C00305000,2024-10-10 14:25:53+00:00,305.0,110.52,113.85,114.85,0.0,0.0,7.0,9,0.9951172363281251,True,REGULAR,USD,2024-10-25
4,MSFT241025C00320000,2024-09-25 19:45:12+00:00,320.0,113.56,97.3,99.9,0.0,0.0,2.0,3,0.9733889379882812,True,REGULAR,USD,2024-10-25
5,MSFT241025C00325000,2024-09-11 14:32:21+00:00,325.0,89.71,90.35,93.75,0.0,0.0,,1,0.500005,True,REGULAR,USD,2024-10-25
6,MSFT241025C00330000,2024-09-24 18:52:10+00:00,330.0,100.32,88.95,89.9,0.0,0.0,,1,0.795900478515625,True,REGULAR,USD,2024-10-25
7,MSFT241025C00335000,2024-10-08 14:18:46+00:00,335.0,78.76,83.95,84.9,0.0,0.0,130.0,66,0.7534204345703125,True,REGULAR,USD,2024-10-25
8,MSFT241025C00340000,2024-10-08 13:37:49+00:00,340.0,72.35,77.35,79.95,0.0,0.0,1.0,2,0.7963887548828125,True,REGULAR,USD,2024-10-25
9,MSFT241025C00345000,2024-09-23 16:07:18+00:00,345.0,91.66,72.35,74.95,0.0,0.0,,2,0.7509790527343749,True,REGULAR,USD,2024-10-25
10,MSFT241025C00350000,2024-10-14 14:05:08+00:00,350.0,72.1,69.0,69.95,0.0,0.0,3.0,10,0.6367223828125,True,REGULAR,USD,2024-10-25
11,MSFT241025C00355000,2024-10-11 16:49:47+00:00,355.0,59.66,62.4,65.0,0.0,0.0,8.0,10,0.6669955175781253,True,REGULAR,USD,2024-10-25
12,MSFT241025C00357500,2024-10-11 17:29:56+00:00,357.5,57.95,59.9,62.5,0.0,0.0,,4,0.6445348046875,True,REGULAR,USD,2024-10-25
13,MSFT241025C00360000,2024-10-11 19:51:32+00:00,360.0,57.1,57.4,60.0,0.0,0.0,1.0,6,0.622074091796875,True,REGULAR,USD,2024-10-25
14,MSFT241025C00365000,2024-10-14 15:01:35+00:00,365.0,55.0,52.45,55.05,0.0,0.0,24.0,30,0.5825237060546875,True,REGULAR,USD,2024-10-25
15,MSFT241025C00370000,2024-10-11 16:12:18+00:00,370.0,45.84,49.1,50.05,0.0,0.0,5.0,13,0.5376022802734376,True,REGULAR,USD,2024-10-25
16,MSFT241025C00375000,2024-10-14 19:54:10+00:00,375.0,46.1,44.15,45.1,0.0,0.0,20.0,22,0.49707534179687507,True,REGULAR,USD,2024-10-25
17,MSFT241025C00380000,2024-10-15 16:08:55+00:00,380.0,37.73,39.2,40.15,-3.5200005,-8.533335,2.0,67,0.4558159887695313,True,REGULAR,USD,2024-10-25
18,MSFT241025C00382500,2024-10-11 19:50:00+00:00,382.5,34.8,36.75,37.7,0.0,0.0,,1,0.4370173486328125,True,REGULAR,USD,2024-10-25
19,MSFT241025C00385000,2024-10-15 17:50:53+00:00,385.0,33.61,34.25,35.25,-2.5900002,-7.154696,4.0,15,0.4177304321289062,True,REGULAR,USD,2024-10-25
20,MSFT241025C00390000,2024-10-15 18:33:28+00:00,390.0,28.95,29.4,30.4,-2.3499985,-7.5079827,18.0,405,0.3812317736816406,True,REGULAR,USD,2024-10-25
21,MSFT241025C00392500,2024-10-15 19:06:00+00:00,392.5,26.8,27.0,27.95,-1.4000015,-4.9645443,43.0,25,0.36035795898437495,True,REGULAR,USD,2024-10-25
22,MSFT241025C00395000,2024-10-15 16:22:20+00:00,395.0,23.1,24.8,26.7,-2.6000004,-10.116733,38.0,68,0.4088804229736328,True,REGULAR,USD,2024-10-25
23,MSFT241025C00397500,2024-10-15 19:50:54+00:00,397.5,21.82,22.45,24.35,-1.7800007,-7.5423756,8.0,47,0.38892212646484375,True,REGULAR,USD,2024-10-25
24,MSFT241025C00400000,2024-10-15 19:51:56+00:00,400.0,19.71,20.15,21.55,-0.94000053,-4.5520606,56.0,340,0.3454655297851562,True,REGULAR,USD,2024-10-25
25,MSFT241025C00402500,2024-10-15 19:09:31+00:00,402.5,16.4,17.9,18.45,-3.1499996,-16.112532,14.0,286,0.2868723657226562,True,REGULAR,USD,2024-10-25
26,MSFT241025C00405000,2024-10-15 17:27:11+00:00,405.0,14.4,15.75,16.25,-3.0500011,-17.478516,84.0,342,0.2739330419921875,True,REGULAR,USD,2024-10-25
27,MSFT241025C00407500,2024-10-15 19:55:00+00:00,407.5,13.35,12.8,14.1,-1.2999992,-8.873715,109.0,359,0.26068854553222653,True,REGULAR,USD,2024-10-25
28,MSFT241025C00410000,2024-10-15 19:59:49+00:00,410.0,11.69,10.8,12.1,-0.8100004,-6.480004,135.0,653,0.2508009490966796,True,REGULAR,USD,2024-10-25
29,MSFT241025C00412500,2024-10-15 19:56:56+00:00,412.5,10.0,9.0,11.0,-0.6000004,-5.660381,128.0,361,0.2721630401611328,True,REGULAR,USD,2024-10-25
30,MSFT241025C00415000,2024-10-15 19:58:38+00:00,415.0,8.1,7.3,8.45,-1.4499998,-15.183244,1105.0,1833,0.2327347235107422,True,REGULAR,USD,2024-10-25
31,MSFT241025C00417500,2024-10-15 19:59:52+00:00,417.5,6.7,6.7,6.95,-0.9300003,-12.188732,948.0,1009,0.22852333984375,True,REGULAR,USD,2024-10-25
32,MSFT241025C00420000,2024-10-15 19:59:59+00:00,420.0,5.45,5.35,5.6,-0.5,-8.403361,4968.0,4248,0.22425092163085933,False,REGULAR,USD,2024-10-25
33,MSFT241025C00422500,2024-10-15 19:59:50+00:00,422.5,4.3,4.25,4.45,-0.3499999,-7.52688,2349.0,1215,0.22132126342773437,False,REGULAR,USD,2024-10-25
34,MSFT241025C00425000,2024-10-15 19:59:15+00:00,425.0,3.35,3.1,3.4,-0.36000013,-9.703508,2864.0,3652,0.21607229248046872,False,REGULAR,USD,2024-10-25
35,MSFT241025C00427500,2024-10-15 19:59:47+00:00,427.5,2.52,2.35,2.84,-0.31999993,-11.267603,739.0,1142,0.22443402526855466,False,REGULAR,USD,2024-10-25
36,MSFT241025C00430000,2024-10-15 19:59:57+00:00,430.0,1.91,1.82,1.98,-0.24000013,-11.162796,4852.0,4366,0.2142412561035156,False,REGULAR,USD,2024-10-25
37,MSFT241025C00432500,2024-10-15 19:56:26+00:00,432.5,1.32,1.21,1.5,-0.30999994,-19.018402,1622.0,1305,0.21509573974609375,False,REGULAR,USD,2024-10-25
38,MSFT241025C00435000,2024-10-15 19:57:11+00:00,435.0,1.01,0.84,1.31,-0.15999997,-13.675211,1028.0,2085,0.22754678710937498,False,REGULAR,USD,2024-10-25
39,MSFT241025C00437500,2024-10-15 19:56:26+00:00,437.5,0.71,0.76,0.83,-0.25,-26.041668,316.0,808,0.21717091430664062,False,REGULAR,USD,2024-10-25
40,MSFT241025C00440000,2024-10-15 19:59:12+00:00,440.0,0.55,0.55,0.71,-0.089999974,-14.062496,1324.0,2962,0.22730264892578123,False,REGULAR,USD,2024-10-25
41,MSFT241025C00442500,2024-10-15 19:57:17+00:00,442.5,0.4,0.39,0.49,-0.12999997,-24.528296,72.0,395,0.22510540527343748,False,REGULAR,USD,2024-10-25
42,MSFT241025C00445000,2024-10-15 19:57:52+00:00,445.0,0.3,0.28,0.32,-0.060000002,-16.666666,756.0,2145,0.22168747070312497,False,REGULAR,USD,2024-10-25
43,MSFT241025C00447500,2024-10-15 19:57:52+00:00,447.5,0.2,0.2,0.26,-0.03999999,-16.666662,42.0,240,0.22852333984375,False,REGULAR,USD,2024-10-25
44,MSFT241025C00450000,2024-10-15 19:57:38+00:00,450.0,0.16,0.15,0.19,-0.030000001,-15.789474,1072.0,6412,0.2304764453125,False,REGULAR,USD,2024-10-25
45,MSFT241025C00452500,2024-10-15 13:53:14+00:00,452.5,0.11,0.11,0.54,-0.030000001,-21.428572,12.0,83,0.29883513671874995,False,REGULAR,USD,2024-10-25
46,MSFT241025C00455000,2024-10-15 19:57:59+00:00,455.0,0.1,0.08,0.12,0.0,0.0,52.0,973,0.241218525390625,False,REGULAR,USD,2024-10-25
47,MSFT241025C00460000,2024-10-15 19:56:34+00:00,460.0,0.04,0.04,0.05,-0.02,-33.333336,402.0,3355,0.23828886718749998,False,REGULAR,USD,2024-10-25
48,MSFT241025C00462500,2024-10-15 19:23:51+00:00,462.5,0.04,0.03,0.07,-0.010000002,-20.000002,1.0,60,0.2617261328125,False,REGULAR,USD,2024-10-25
49,MSFT241025C00465000,2024-10-15 19:34:47+00:00,465.0,0.04,0.02,0.06,-0.010000002,-20.000002,138.0,1276,0.26856200195312496,False,REGULAR,USD,2024-10-25
